АНФАС|Положение на лице при рисуване
БОФОР|Община в Люксембург
БУФЕР|Метални накрайници на вагон
ВАФЛА|Сладкиш от хрупкави кори с пълнеж
ДЕФИС|Чертичка за пренасяне на думи
ЕНФИЕ|Вид тютюн на прах за смъркане
КАФЕЗ|Клетка за птици
КАФФЕ|Българска поп група (2001-2006)
КЕФАЛ|Морска риба с тъмни надлъжни ивици
КИФЛА|Тестена закуска с плънка
КУФАР|Вид пътна чанта
КЮФТЕ|Месна топка
МАФИЯ|Сицилианска тайна терористична организация
ОРФЕЙ|Легендарен тракийски певец
ПАФТИ|Украсени метални токи за колани
РЕФЕР|Съдия на спортен турнир
СОФИЯ|Град в България
СУФЛЕ|Ястие с яйца
ТАФТА|Твърд копринен плат
ЦЕФЕЙ|Северно съзвездие
ЦИФРА|Писмен знак за отбелязване на число
ЛЕФЕР|Хищна морска риба, чернокоп
КАФКА|Немскоезичен писател (1883-1924, "Процесът")
ШИФЪР|Тайно писмо, код
ЧИФТЕ|Двуцевка (разг.)
СОФРА|Ниска кръгла маса
СИФОН|Приспособление към мивка, спиращо миризмата
СЕФТЕ|Първа покупка
ТЕФРА|Материал, изхвърлен при вулканично изригване
ЛАФЕТ|Шаси на оръдие
МЪФИН|Малък кръгъл кекс
НАФТА|Дизелово гориво
